ISO 639-3 code	Script	Name	Language Family	Subset	Words	Documents	Disk size
yor	Latn	Yoruba	Niger-Congo	yor_Latn	49,165,864	67,447	96.55MB
glk	Arab	Gilaki	Indo-European	glk_Arab	31,225,449	112,158	89.76MB
haw	Latn	Hawaiian	Austronesian	haw_Latn	55,776,561	71,087	89.19MB
lus	Latn	Lushai	Sino-Tibetan	lus_Latn	44,450,187	81,748	88.11MB
oci	Latn	Occitan (post 1500)	Indo-European	oci_Latn	34,955,196	70,426	87.66MB
san	Deva	Sanskrit	Indo-European	san_Deva	16,815,844	22,118	83.47MB
nds	Latn	Low German	Indo-European	nds_Latn	32,118,804	64,948	82.90MB
sme	Latn	Northern Sami	Uralic	sme_Latn	26,667,910	70,158	82.57MB
dag	Latn	Dagbani	Niger-Congo	dag_Latn	36,489,534	37,026	81.65MB
run	Latn	Rundi	Niger-Congo	run_Latn	25,051,735	88,823	71.38MB
sco	Latn	Scots	Indo-European	sco_Latn	27,479,371	75,821	70.76MB
frp	Latn	Arpitan	Indo-European	frp_Latn	24,611,764	58,413	69.22MB
mui	Latn	Musi	Austronesian	mui_Latn	26,492,914	88,835	65.86MB
acm	Arab	Mesopotamian Arabic	Afro-Asiatic	acm_Arab	19,288,606	95,315	63.18MB
inh	Cyrl	Ingush	Nakh-Daghestanian	inh_Cyrl	18,821,795	26,988	60.81MB
oss	Cyrl	Ossetian	Indo-European	oss_Cyrl	19,387,220	38,729	59.41MB
crh	Latn	Crimean Tatar	Turkic	crh_Latn	21,365,608	41,908	59.28MB
bre	Latn	Breton	Indo-European	bre_Latn	25,607,484	54,409	56.88MB
kal	Latn	Kalaallisut	Eskimo-Aleut	kal_Latn	15,099,271	45,066	55.52MB
zea	Latn	Zeeuws	Indo-European	zea_Latn	22,952,523	34,971	54.96MB
roh	Latn	Romansh	Indo-European	roh_Latn	21,385,822	74,442	50.73MB
gaz	Latn	West Central Oromo	Afro-Asiatic	gaz_Latn	17,177,245	43,468	49.21MB
lij	Latn	Ligurian	Indo-European	lij_Latn	26,344,020	16,575	47.95MB
uig	Latn	Uighur	Turkic	uig_Latn	15,718,693	24,729	46.26MB
mhr	Cyrl	Eastern Mari	Uralic	mhr_Cyrl	14,888,927	30,385	45.94MB
hil	Latn	Hiligaynon	Austronesian	hil_Latn	20,072,734	39,624	44.26MB
cnh	Latn	Hakha Chin	Sino-Tibetan	cnh_Latn	23,463,983	49,403	44.00MB
hsb	Latn	Upper Sorbian	Indo-European	hsb_Latn	14,311,284	40,297	43.75MB
mai	Deva	Maithili	Indo-European	mai_Deva	13,616,365	22,544	43.46MB
udm	Cyrl	Udmurt	Uralic	udm_Cyrl	13,511,257	25,583	43.10MB
lim	Latn	Limburgan	Indo-European	lim_Latn	15,383,105	35,699	42.43MB
hac	Arab	Gurani	Indo-European	hac_Arab	12,281,541	26,439	41.91MB
fro	Latn	Old French (842-ca. 1400)	Indo-European	fro_Latn	22,085,406	9,040	39.80MB
gag	Latn	Gagauz	Turkic	gag_Latn	13,440,173	30,764	38.35MB
cbk	Latn	Chavacano	Creole	cbk_Latn	15,939,567	53,233	38.21MB
tyv	Cyrl	Tuvinian	Turkic	tyv_Cyrl	11,509,170	16,811	33.37MB
dzo	Tibt	Dzongkha	Sino-Tibetan	dzo_Tibt	10,786,574	23,066	32.15MB
lmo	Latn	Lombard	Indo-European	lmo_Latn	14,233,524	21,746	31.28MB
lug	Latn	Ganda	Niger-Congo	lug_Latn	9,845,873	32,954	30.24MB
grc	Grek	Ancient Greek (to 1453)	Indo-European	grc_Grek	9,397,616	10,500	30.04MB
wuu	Hani	Wu Chinese	Sino-Tibetan	wuu_Hani	10,961,531	35,970	29.55MB
crs	Latn	Seselwa Creole French	Creole	crs_Latn	18,175,854	3,494	28.96MB
goh	Latn	Old High German (ca. 750-1050)	Indo-European	goh_Latn	15,505,909	12,984	28.78MB
tat	Latn	Tatar	Turkic	tat_Latn	9,278,919	27,911	28.69MB
raw	Latn	Rawang	Sino-Tibetan	raw_Latn	7,839,752	5,873	28.29MB
che	Cyrl	Chechen	Nakh-Daghestanian	che_Cyrl	9,073,242	25,249	28.10MB
srd	Latn	Sardinian	Indo-European	srd_Latn	11,355,268	23,431	27.58MB
mfe	Latn	Morisyen	Creole	mfe_Latn	16,315,521	20,214	27.32MB
wol	Latn	Wolof	Niger-Congo	wol_Latn	9,194,182	24,103	24.63MB
brh	Arab	Brahui	Dravidian	brh_Arab	8,183,788	19,448	23.86MB
non	Latn	Old Norse	Indo-European	non_Latn	10,917,775	5,596	23.73MB
pnb	Arab	Western Panjabi	Indo-European	pnb_Arab	9,763,242	14,334	23.72MB
new	Deva	Newari	Sino-Tibetan	new_Deva	6,384,667	17,256	23.30MB
uig	Cyrl	Uighur	Turkic	uig_Cyrl	6,919,190	14,403	23.22MB
bho	Deva	Bhojpuri	Indo-European	bho_Deva	7,587,524	17,935	22.99MB
pfl	Latn	Pfaelzisch	Indo-European	pfl_Latn	8,641,831	33,226	22.97MB
pan	Latn	Panjabi	Indo-European	pan_Latn	9,657,836	26,653	22.65MB
ban	Latn	Balinese	Austronesian	ban_Latn	11,296,596	14,624	22.55MB
arg	Latn	Aragonese	Indo-European	arg_Latn	8,919,109	21,977	21.91MB
kpv	Cyrl	Komi-Zyrian	Uralic	kpv_Cyrl	7,430,461	7,852	21.81MB
bxr	Cyrl	Russia Buriat	Mongolic	bxr_Cyrl	6,304,810	11,055	21.32MB
kha	Latn	Khasi	Austro-Asiatic	kha_Latn	11,072,105	25,577	20.06MB
lin	Latn	Lingala	Niger-Congo	lin_Latn	9,573,421	15,241	20.03MB
shn	Mymr	Shan	Kra-Dai	shn_Mymr	3,957,730	21,366	19.76MB
hne	Deva	Chhattisgarhi	Indo-European	hne_Deva	7,321,665	11,894	19.64MB
ilo	Latn	Iloko	Austronesian	ilo_Latn	8,427,372	18,838	19.21MB
scn	Latn	Sicilian	Indo-European	scn_Latn	6,576,200	21,135	18.65MB
san	Latn	Sanskrit	Indo-European	san_Latn	4,560,615	2,437	18.62MB
eml	Latn	Emilian-Romagnol	Indo-European	eml_Latn	7,412,017	9,853	17.04MB
uzs	Arab	Southern Uzbek	Turkic	uzs_Arab	6,134,114	20,805	17.03MB
gug	Latn	Paraguayan Guaraní	Tupian	gug_Latn	6,307,130	10,609	16.68MB
iba	Latn	Iban	Austronesian	iba_Latn	7,985,933	16,554	16.25MB
nde	Latn	North Ndebele	Niger-Congo	nde_Latn	5,075,882	20,662	16.08MB
rmn	Latn	Balkan Romani	Indo-European	rmn_Latn	6,191,157	10,913	15.87MB
myv	Cyrl	Erzya	Uralic	myv_Cyrl	4,888,848	8,090	15.82MB
fij	Latn	Fijian	Austronesian	fij_Latn	9,625,209	11,497	15.63MB
ava	Cyrl	Avaric	Nakh-Daghestanian	ava_Cyrl	4,468,182	8,401	15.26MB
wln	Latn	Walloon	Indo-European	wln_Latn	7,383,792	14,833	15.07MB
ltg	Latn	Latgalian	Indo-European	ltg_Latn	5,142,439	9,735	14.67MB
csb	Latn	Kashubian	Indo-European	csb_Latn	4,806,552	6,744	14.13MB
mwl	Latn	Mirandese	Indo-European	mwl_Latn	6,171,673	7,473	13.75MB
kbd	Cyrl	Kabardian	Abkhaz-Adyghe	kbd_Cyrl	3,804,861	6,475	13.31MB
twi	Latn	Twi	Atlantic-Congo	twi_Latn	5,486,865	5,655	13.11MB
kaa	Cyrl	Kara-Kalpak	Turkic	kaa_Cyrl	3,841,844	10,503	12.64MB
ike	Cans	Eastern Canadian Inuktitut	Eskimo-Aleut	ike_Cans	2,242,554	7,355	12.30MB
pms	Latn	Piemontese	Indo-European	pms_Latn	6,434,442	12,054	12.14MB
ctd	Latn	Tedim Chin	Sino-Tibetan	ctd_Latn	6,448,257	7,077	12.05MB
lez	Cyrl	Lezghian	Nakh-Daghestanian	lez_Cyrl	3,762,297	6,126	11.78MB
ady	Cyrl	Adyghe	Abkhaz-Adyghe	ady_Cyrl	3,081,612	6,672	11.55MB
jam	Latn	Jamaican Creole English	Creole	jam_Latn	4,579,418	11,116	11.19MB
cmr	Latn	Mro-Khimi Chin	Sino-Tibetan	cmr_Latn	3,758,084	2,438	10.99MB
fit	Latn	Tornedalen Finnish	Uralic	fit_Latn	3,382,561	9,029	10.85MB
szl	Latn	Silesian	Indo-European	szl_Latn	3,661,924	6,629	10.57MB
tam	Latn	Tamil	Dravidian	tam_Latn	3,578,879	4,380	10.55MB
vls	Latn	Vlaams	Indo-European	vls_Latn	4,233,268	10,572	10.50MB
tso	Latn	Tsonga	Niger-Congo	tso_Latn	5,647,115	5,591	10.14MB
tel	Latn	Telugu	Dravidian	tel_Latn	3,284,085	4,114	10.06MB
gom	Deva	Goan Konkani	Indo-European	gom_Deva	2,648,702	5,598	10.01MB
krc	Cyrl	Karachay-Balkar	Turkic	krc_Cyrl	3,370,673	4,681	9.99MB
lad	Latn	Ladino	Indo-European	lad_Latn	4,176,037	9,444	9.81MB
ksh	Latn	Kölsch	Indo-European	ksh_Latn	3,706,550	8,975	9.61MB
tsn	Latn	Tswana	Niger-Congo	tsn_Latn	5,634,304	5,530	9.57MB
azj	Cyrl	North Azerbaijani	Turkic	azj_Cyrl	3,129,528	4,799	9.52MB
vro	Latn	Võro	Uralic	vro_Latn	3,369,701	6,692	9.29MB
bbc	Latn	Batak Toba	Austronesian	bbc_Latn	4,961,746	4,362	9.25MB
bcl	Latn	Central Bikol	Austronesian	bcl_Latn	4,190,902	8,312	9.21MB
bam	Latn	Bambara	Niger-Congo	bam_Latn	4,615,051	14,044	8.90MB
apc	Arab	Levantine Arabic	Afro-Asiatic	apc_Arab	2,125,590	17,627	8.75MB
nso	Latn	Pedi	Niger-Congo	nso_Latn	5,102,432	5,180	8.64MB
mrj	Cyrl	Western Mari	Uralic	mrj_Cyrl	2,882,216	3,769	8.54MB
ndo	Latn	Ndonga	Niger-Congo	ndo_Latn	3,582,340	8,257	8.50MB
ton	Latn	Tonga (Tonga Islands)	Austronesian	ton_Latn	5,165,162	6,427	8.48MB
kum	Cyrl	Kumyk	Turkic	kum_Cyrl	2,681,619	4,346	8.46MB
syl	Latn	Sylheti	Indo-European	syl_Latn	14,311,794	648	8.46MB
tah	Latn	Tahitian	Austronesian	tah_Latn	5,933,309	4,808	8.27MB
ayr	Latn	Central Aymara	Aymaran	ayr_Latn	2,788,708	7,036	8.17MB
ina	Latn	Interlingua (International Auxiliary Language Association)	Artificial Language	ina_Latn	3,578,295	8,410	8.10MB
ven	Latn	Venda	Niger-Congo	ven_Latn	7,232,802	3,994	7.99MB
mni	Beng	Manipuri	Sino-Tibetan	mni_Beng	2,209,261	2,721	7.90MB
mbf	Latn	Baba Malay	Creole	mbf_Latn	3,028,384	4,509	7.88MB
tuk	Cyrl	Turkmen	Turkic	tuk_Cyrl	2,565,488	971	7.87MB
diq	Latn	Dimli (individual language)	Indo-European	diq_Latn	3,046,960	6,700	7.76MB
enm	Latn	Middle English (1100-1500)	Indo-European	enm_Latn	5,997,353	5,640	7.68MB
fur	Latn	Friulian	Indo-European	fur_Latn	3,268,623	11,194	7.64MB
alt	Cyrl	Southern Altai	Turkic	alt_Cyrl	2,851,971	1,790	7.53MB
cfm	Latn	Falam Chin	Sino-Tibetan	cfm_Latn	3,866,865	8,674	7.27MB
mdf	Cyrl	Moksha	Uralic	mdf_Cyrl	2,318,324	3,693	7.06MB
kac	Latn	Kachin	Sino-Tibetan	kac_Latn	4,920,267	6,326	7.06MB
tcz	Latn	Thado Chin	Sino-Tibetan	tcz_Latn	3,408,189	2,160	6.95MB
gom	Latn	Goan Konkani	Indo-European	gom_Latn	3,338,905	3,771	6.93MB
syc	Syrc	Classical Syriac	Afro-Asiatic	syc_Syrc	2,102,394	1,157	6.72MB
sag	Latn	Sango	Creole	sag_Latn	4,846,772	4,537	6.60MB
abk	Cyrl	Abkhazian	Abkhaz-Adyghe	abk_Cyrl	2,232,687	3,367	6.54MB
dsb	Latn	Lower Sorbian	Indo-European	dsb_Latn	2,140,119	6,375	6.36MB
srn	Latn	Sranan Tongo	Creole	srn_Latn	3,799,216	3,562	6.19MB
olo	Latn	Livvi	Uralic	olo_Latn	2,023,981	4,752	6.13MB
ang	Latn	Old English (ca. 450-1100)	Indo-European	ang_Latn	6,121,950	3,003	6.12MB
crh	Cyrl	Crimean Tatar	Turkic	crh_Cyrl	1,934,168	2,275	6.10MB
lbe	Cyrl	Lak	Nakh-Daghestanian	lbe_Cyrl	1,824,103	3,378	6.09MB
kea	Latn	Kabuverdianu	Creole	kea_Latn	2,585,843	5,399	5.95MB
pcd	Latn	Picard	Indo-European	pcd_Latn	3,111,755	7,229	5.90MB
pam	Latn	Pampanga	Austronesian	pam_Latn	2,828,793	6,321	5.77MB
ido	Latn	Ido	Artificial Language	ido_Latn	2,341,008	7,047	5.76MB
arb	Latn	Standard Arabic	Afro-Asiatic	arb_Latn	2,054,985	4,485	5.72MB
awa	Deva	Awadhi	Indo-European	awa_Deva	1,843,891	4,873	5.60MB
pdc	Latn	Pennsylvania German	Indo-European	pdc_Latn	3,964,483	7,407	5.60MB
tly	Latn	Talysh	Indo-European	tly_Latn	2,108,231	3,945	5.45MB
bis	Latn	Bislama	Creole	bis_Latn	2,959,464	5,083	5.42MB
ace	Latn	Achinese	Austronesian	ace_Latn	2,763,910	3,339	5.40MB
krl	Latn	Karelian	Uralic	krl_Latn	1,810,424	3,247	5.34MB
lzh	Hani	Literary Chinese	Sino-Tibetan	lzh_Hani	2,976,679	1,348	5.28MB
kab	Latn	Kabyle	Afro-Asiatic	kab_Latn	1,899,585	7,717	5.16MB
rcf	Latn	Réunion Creole French	Creole	rcf_Latn	2,330,886	7,853	5.15MB
pck	Latn	Paite Chin	Sino-Tibetan	pck_Latn	2,560,629	1,576	4.77MB
efi	Latn	Efik	Niger-Congo	efi_Latn	2,302,228	3,678	4.72MB
vec	Latn	Venetian	Indo-European	vec_Latn	2,152,286	4,562	4.56MB
zom	Latn	Zou	Sino-Tibetan	zom_Latn	2,163,131	3,968	4.51MB
mnw	Mymr	Mon	Austro-Asiatic	mnw_Mymr	926,972	1,932	4.49MB
aln	Latn	Gheg Albanian	Indo-European	aln_Latn	1,489,849	1,325	4.39MB
ron	Cyrl	Romanian	Indo-European	ron_Cyrl	1,723,670	1,604	4.36MB
szy	Latn	Sakizaya	Austronesian	szy_Latn	1,432,002	2,198	4.35MB
vep	Latn	Veps	Uralic	vep_Latn	1,477,760	4,153	4.34MB
tpi	Latn	Tok Pisin	Creole	tpi_Latn	2,588,814	4,027	4.34MB
cak	Latn	Kaqchikel	Mayan	cak_Latn	2,612,137	4,432	4.23MB
ben	Latn	Bengali	Indo-European	ben_Latn	1,724,327	3,797	4.20MB
nan	Latn	Min Nan Chinese	Sino-Tibetan	nan_Latn	1,780,266	3,024	4.19MB
